noise_std,f1,precision,recall,accuracy,profit,trades,win_pct,max_dd,sharpe,tp,fp,tn,fn
0.0,1.0,1.0,1.0,1.0,306398.8839101093,753,100.0,1599.000000000017,338.89624015505166,7111,0,11873,0
0.05,1.0,1.0,1.0,1.0,306398.8839101093,753,100.0,1599.000000000017,338.89624015505166,7111,0,11873,0
0.1,1.0,1.0,1.0,1.0,306398.8839101093,753,100.0,1599.000000000017,338.89624015505166,7111,0,11873,0
0.15,0.999504,0.999575,0.999433,0.999629,297172.5970673318,754,99.3368700265252,1599.000000000017,325.95875122684987,7049,3,11827,4
0.2,0.991274,0.987826,0.994746,0.993777,219326.53112955493,767,92.04693611473273,1599.000000000017,263.61702198000654,6248,77,11317,33
0.25,0.96343,0.948383,0.978962,0.977819,97631.21745516943,777,75.2895752895753,1599.000000000017,181.96151205248077,4281,233,10046,92
0.3,0.898787,0.848547,0.95535,0.952316,15164.561674497963,779,56.22593068035944,1075.999999999988,84.65024209147545,2482,443,8682,116
0.35,0.781231,0.674737,0.927641,0.920733,817.7982508657115,781,45.83866837387964,1160.9999999999898,7.108491446409149,1282,618,7058,100
0.4,0.649979,0.512032,0.889663,0.894122,-886.7115811925396,781,39.436619718309856,948.9999999999998,-7.884834417218471,766,730,6201,95
0.45,0.472832,0.331442,0.824597,0.864668,-3268.799758811576,781,37.259923175416134,761.9999999999959,-35.026760011640555,409,825,5418,87
0.5,0.396129,0.25951,0.836512,0.846809,-6357.847043230702,781,32.2663252240717,702.0000000000026,-86.45348539733546,307,876,4867,60
0.55,0.331687,0.207597,0.824561,0.828783,-5756.573706356687,783,36.39846743295019,702.0000000000026,-69.230664174003,235,897,4349,50
0.6,0.230008,0.134581,0.790576,0.808269,-7817.746248348311,785,32.101910828025474,622.9999999999957,-112.93275746276471,151,971,4111,40
0.7,0.16965,0.096035,0.726667,0.769497,-8184.858973741096,784,31.887755102040817,968.9999999999976,-143.7163864795855,109,1026,3453,41
0.8,0.165787,0.09322,0.748299,0.747029,-7780.470259904174,784,33.29081632653062,702.0000000000026,-121.64673518757924,110,1070,3159,37
0.9,0.148639,0.083196,0.696552,0.720396,-8026.392877529426,784,34.94897959183674,1168.9999999999977,-147.67235447670558,101,1113,2880,44
1.0,0.164051,0.091853,0.766667,0.71133,-7795.577776225009,784,32.142857142857146,702.0000000000026,-120.01177777226046,115,1137,2773,35
1.2,0.106534,0.058185,0.630252,0.666843,-8960.048865251414,784,29.71938775510204,1080.9999999999986,-195.7368920455351,75,1214,2443,44
1.5,0.103356,0.056369,0.620968,0.633269,-8595.193074883051,784,32.39795918367347,702.0000000000026,-162.38344952259152,77,1289,2230,47
2.0,0.125628,0.069013,0.699301,0.609208,-7881.162469057528,783,34.993614303959134,653.0000000000147,-150.35658502694474,100,1349,2070,43
